texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:355:24:355:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:364:33:364:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:364:36:364:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:364:57:364:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:364:58:364:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:365:25:365:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:365:33:365:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:381:5:381:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:381:37:381:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:382:5:382:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:382:36:382:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:383:5:383:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:383:37:383:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:384:5:384:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:384:36:384:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:411:25:411:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:422:41:422:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:433:28:433:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:444:31:444:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:455:27:455:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:466:30:466:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:484:35:484:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:485:34:485:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:486:37:486:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:489:36:489:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:490:35:490:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:491:38:491:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:502:50:502:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:502:53:502:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:513:50:513:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:513:53:513:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:537:29:537:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:537:45:537:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:537:48:537:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:537:51:537:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:545:1:545:89: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:545:31:545:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:545:41:545:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:550:1:550:92: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:550:30:550:30: s204 missing stylistic whitespaces
