texmf-dist/tex/fontinst/base/xfntinst.sty:209:53:209:65: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:210:33:210:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:210:70:210:70: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:218:19:218:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:222:5:222:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:222:5:222:14: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:222:15:222:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:224:19:224:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:225:32:225:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:231:25:231:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:231:33:231:33: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:231:36:231:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:232:18:232:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:232:35:232:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:232:43:232:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:232:44:232:44: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:233:25:233:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:236:5:236:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:236:5:236:15: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:236:16:236:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:237:14:237:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:238:19:238:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:239:31:239:31: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:242:48:242:48: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:245:17:245:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:245:27:245:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:245:47:245:47: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:245:48:245:60: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:247:25:247:38: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:250:5:250:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:250:5:250:14: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:250:15:250:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:250:42:250:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:251:6:251:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:251:6:251:16: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:251:17:251:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:251:31:251:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:251:41:251:41: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:251:65:251:65: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:252:6:252:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:252:6:252:17: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:252:18:252:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:253:13:253:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:253:23:253:23: s204 missing stylistic whitespaces
