texmf-dist/tex/latex/endiagram/endiagram.sty:795:69:795:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:796:66:796:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:811:26:811:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:829:30:829:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:829:60:829:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:835:29:835:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:835:58:835:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:841:1:841:86: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:866:71:866:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:867:68:867:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:873:71:873:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:874:68:874:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:878:1:878:111: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:931:1:931:84: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:978:1:978:90: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:986:1:986:86: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:992:1:992:87: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:1018:34:1018:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1018:64:1018:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1036:1:1036:95: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:1053:35:1053:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1053:65:1053:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1088:35:1088:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1088:65:1088:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1105:20:1105:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1105:42:1105:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1107:20:1107:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1111:20:1111:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1128:1:1128:90: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:1128:20:1128:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1128:46:1128:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1128:52:1128:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1132:20:1132:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1150:20:1150:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1150:42:1150:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1152:20:1152:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1156:20:1156:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1173:20:1173:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1173:46:1173:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1175:20:1175:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1178:20:1178:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1195:20:1195:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1195:42:1195:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1197:20:1197:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1201:20:1201:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1218:20:1218:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1218:46:1218:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1220:20:1220:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1223:20:1223:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:1279:1:1279:90: s103 line too long
