texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:398:48:398:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:398:51:398:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:398:60:398:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:1:404:81: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:28:404:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:32:404:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:37:404:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:39:404:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:44:404:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:46:404:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:51:404:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:53:404:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:58:404:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:59:404:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:66:404:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:67:404:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:70:404:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:71:404:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:404:82:404:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:409:1:409:92: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:409:54:409:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:410:1:410:86: s103 line too long
