texmf-dist/tex/generic/xint/xintkernel.sty:229:38:229:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:230:10:230:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:230:40:230:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:231:10:231:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:231:42:231:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:232:10:232:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:232:44:232:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:233:10:233:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:233:46:233:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:234:10:234:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:234:48:234:48: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:235:10:235:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:235:50:235:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:236:10:236:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:236:52:236:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:237:10:237:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:237:34:237:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:238:10:238:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:238:36:238:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:239:10:239:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:239:36:239:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:240:10:240:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:240:28:240:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:240:38:240:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:241:5:241:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:241:27:241:45: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:242:10:242:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:242:42:242:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:243:10:243:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:243:44:243:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:244:10:244:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:244:44:244:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:245:10:245:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:245:47:245:47: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:245:51:245:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:245:55:245:55: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:245:56:245:56: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:246:10:246:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:246:33:246:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:247:10:247:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:247:33:247:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:248:10:248:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:248:33:248:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:249:10:249:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:249:34:249:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:250:10:250:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:250:34:250:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:251:10:251:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:251:43:251:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:252:10:252:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:252:44:252:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:253:10:253:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:253:48:253:48: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:254:10:254:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:254:34:254:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:254:36:254:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:255:10:255:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:255:33:255:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:255:35:255:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:256:10:256:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:256:33:256:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:256:35:256:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:257:10:257:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:257:50:257:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:258:10:258:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:258:50:258:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:259:10:259:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:259:50:259:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:260:10:260:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:260:50:260:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:261:10:261:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:261:34:261:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:261:41:261:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:261:55:261:55: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:262:10:262:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:262:50:262:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:263:10:263:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:263:50:263:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:264:10:264:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:264:50:264:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:265:5:265:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:266:10:266:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:266:29:266:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:266:31:266:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:266:37:266:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:266:39:266:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:267:10:267:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:267:24:267:24: s204 missing stylistic whitespaces
