texmf-dist/tex/latex/mathtools/mathtools.sty:239:29:239:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:240:31:240:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:240:59:240:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:240:60:240:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:242:15:242:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:243:22:243:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:244:19:244:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:246:5:246:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:248:29:248:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:249:19:249:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:251:28:251:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:251:48:251:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:251:56:251:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:252:20:252:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:252:34:252:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:253:20:253:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:253:36:253:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:254:13:254:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:254:30:254:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:254:31:254:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:254:32:254:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:254:46:254:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:254:47:254:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:254:53:254:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:255:17:255:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:255:48:255:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:257:17:257:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:257:51:257:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:259:17:259:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:259:48:259:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:261:13:261:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:261:35:261:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:262:22:262:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:262:36:262:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:262:37:262:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:263:26:263:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:263:40:263:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:275:22:275:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:275:50:275:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:280:5:280:27: s204 missing stylistic whitespaces
