texmf-dist/tex/plain/xintsession/xintsession.tex:141:2:141:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:142:5:142:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:142:16:142:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:143:2:143:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:144:18:144:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:144:21:144:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:145:8:145:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:145:16:145:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:145:20:145:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:145:31:145:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:146:2:146:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:147:5:147:12: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:148:2:148:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:149:9:149:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:149:15:149:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:149:30:149:35: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:149:36:149:36: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:149:37:149:37: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:150:21:150:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:150:27:150:27: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:150:28:150:33: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:150:34:150:34: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:151:20:151:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:152:24:152:37: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:152:47:152:53: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:152:54:152:54: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:153:41:153:46: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:153:47:153:47: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:153:48:153:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:153:49:153:49: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:153:50:153:50: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:154:25:154:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:154:26:154:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:154:30:154:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:154:31:154:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:154:32:154:51: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:154:52:154:52: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:154:55:154:55: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:154:56:154:56: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:155:25:155:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:155:26:155:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:155:29:155:29: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:155:30:155:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:155:31:155:50: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:155:51:155:51: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:155:53:155:53: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:155:54:155:54: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:156:25:156:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:156:26:156:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:156:28:156:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:156:29:156:29: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:156:59:156:64: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:156:76:156:76: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:157:15:157:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:157:16:157:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:158:20:158:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:158:31:158:36: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:159:18:159:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:159:19:159:19: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:159:21:159:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:159:27:159:27: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:159:28:159:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:160:5:160:5: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:162:2:162:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:163:5:163:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:163:16:163:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:163:50:163:50: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:164:5:164:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:165:2:165:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:166:8:166:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:166:17:166:17: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:166:33:166:43: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:166:44:166:51: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:166:52:166:52: s204 missing stylistic whitespaces
