texmf-dist/tex/generic/tuple/tuple.tex:107:4:107:4: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:108:18:108:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:108:21:108:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:110:4:110:4: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:111:14:111:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:112:5:112:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:112:20:112:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:112:22:112:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:112:27:112:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:113:5:113:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:113:15:113:15: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:113:16:113:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:113:48:113:48: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:113:49:113:49: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:113:50:113:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:113:51:113:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:114:4:114:4: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:116:5:116:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:116:20:116:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:116:25:116:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:116:30:116:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:116:31:116:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:117:6:117:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:118:18:118:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:118:22:118:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:118:23:118:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:118:26:118:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:119:4:119:4: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:120:64:120:79: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:120:80:120:80: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:120:81:120:81: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:121:7:121:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:121:20:121:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:121:53:121:53: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:122:7:122:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:122:22:122:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:122:59:122:59: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:124:4:124:4: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:125:19:125:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:125:23:125:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:125:24:125:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:125:27:125:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:126:5:126:5: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:127:20:127:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:127:24:127:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:127:25:127:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:127:29:127:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:128:6:128:6: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:129:17:129:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:129:36:129:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:129:72:129:72: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:130:9:130:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:130:22:130:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:130:45:130:45: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:130:46:130:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:131:9:131:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:131:24:131:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:131:51:131:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:131:52:131:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:133:6:133:6: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:134:21:134:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:134:25:134:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:134:26:134:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:134:31:134:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:135:7:135:7: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:136:1:136:87: s103 line too long
texmf-dist/tex/generic/tuple/tuple.tex:136:71:136:86: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:136:87:136:87: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:136:88:136:88: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:137:10:137:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:137:23:137:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:138:1:138:97: s103 line too long
texmf-dist/tex/generic/tuple/tuple.tex:138:10:138:24: s204 missing stylistic whitespaces
