texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:43:82:43:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:43:83:43:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:43:84:43:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:43:104:43:104: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:1:44:104: s103 line too long
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:40:44:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:46:44:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:47:44:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:48:44:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:55:44:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:56:44:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:57:44:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:70:44:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:71:44:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:72:44:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:77:44:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:78:44:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:79:44:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:85:44:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:86:44:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:87:44:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:44:104:44:104: s204 missing stylistic whitespaces
