texmf-dist/tex/latex/polyglossia/polyglossia.sty:637:23:637:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:637:24:637:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:638:52:638:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:641:23:641:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:642:25:642:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:642:35:642:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:677:1:677:130: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:678:1:678:107: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:678:35:678:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:678:50:678:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:678:54:678:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:678:55:678:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:678:71:678:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:678:75:678:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:678:76:678:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:678:80:678:96: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:687:34:687:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:687:36:687:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:696:1:696:131: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:698:1:698:108: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:700:1:700:111: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:703:1:703:111: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:706:1:706:97: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:707:1:707:94: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:712:1:712:82: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:713:1:713:83: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:734:28:734:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:734:29:734:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:734:36:734:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:734:37:734:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:734:59:734:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:734:66:734:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:735:28:735:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:735:29:735:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:735:37:735:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:735:38:735:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:735:60:735:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:735:67:735:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:736:1:736:102: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:736:28:736:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:736:35:736:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:736:52:736:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:736:53:736:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:736:70:736:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:736:71:736:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:736:93:736:93: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:736:100:736:100: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:740:27:740:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:740:28:740:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:740:36:740:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:740:37:740:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:740:59:740:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:740:66:740:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:741:1:741:101: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:741:27:741:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:741:34:741:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:741:51:741:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:741:52:741:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:741:69:741:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:741:70:741:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:741:92:741:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:741:99:741:99: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:750:9:750:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:751:77:751:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:753:26:753:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:753:27:753:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:753:39:753:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:753:43:753:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:760:62:760:62: s204 missing stylistic whitespaces
