texmf-dist/tex/fontinst/base/finstmsc.sty:249:6:249:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:249:17:249:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:249:31:249:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:249:41:249:41: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:249:65:249:65: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:250:6:250:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:250:18:250:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:251:13:251:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:251:23:251:23: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:253:27:253:38: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:253:39:253:39: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:253:43:253:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:256:5:256:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:256:14:256:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:257:5:257:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:257:13:257:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:258:16:258:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:258:19:258:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:259:27:259:34: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:260:8:260:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:260:19:260:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:273:8:273:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:273:21:273:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:273:41:273:51: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:273:52:273:52: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:274:13:274:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:275:8:275:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:275:19:275:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:276:43:276:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:277:22:277:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:279:22:279:29: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:282:8:282:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:282:21:282:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:283:43:283:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:285:15:285:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:286:5:286:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:286:15:286:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:287:5:287:10: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:287:11:287:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:287:13:287:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:287:21:287:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:289:19:289:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:292:46:292:53: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:294:46:294:54: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:298:5:298:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:298:14:298:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:299:5:299:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:299:20:299:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:300:25:300:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:301:11:301:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:303:19:303:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:306:19:306:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:311:11:311:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:311:18:311:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:311:19:311:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:316:5:316:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:316:23:316:23: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:316:28:316:28: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:317:8:317:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:317:26:317:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:318:19:318:29: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:320:19:320:31: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:323:25:323:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:326:5:326:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:326:17:326:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:328:20:328:33: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:330:19:330:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:333:5:333:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:333:19:333:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:334:14:334:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:335:22:335:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:341:5:341:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:341:20:341:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:343:14:343:25: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:348:5:348:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:348:21:348:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:351:15:351:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:354:23:354:23: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:360:9:360:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:360:22:360:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:360:26:360:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:362:5:362:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:362:18:362:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:364:15:364:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:364:16:364:23: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:366:15:366:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:366:16:366:23: s204 missing stylistic whitespaces
