texmf-dist/tex/plain/mkpattern/mkpatter.tex:512:9:512:9: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:512:31:512:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:516:18:516:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:517:11:517:11: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:517:33:517:33: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:518:10:518:10: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:518:67:518:67: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:541:6:541:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:541:19:541:19: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:565:13:565:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:571:8:571:8: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:571:12:571:12: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:585:1:585:108: s103 line too long
texmf-dist/tex/plain/mkpattern/mkpatter.tex:585:108:585:108: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:586:73:586:73: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:587:47:587:47: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:587:55:587:55: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:587:56:587:56: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:594:49:594:49: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:597:14:597:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:598:15:598:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:599:10:599:15: s204 missing stylistic whitespaces
