texmf-dist/tex/generic/xint/xintcore.sty:144:51:144:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:146:10:146:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:146:19:146:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:146:46:146:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:147:10:147:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:148:10:148:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:149:5:149:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:149:20:149:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:149:23:149:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:150:5:150:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:151:2:151:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:153:2:153:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:153:3:153:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:153:18:153:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:153:21:153:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:154:41:154:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:156:2:156:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:157:17:157:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:157:58:157:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:158:24:158:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:158:30:158:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:158:36:158:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:158:42:158:47: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:158:48:158:53: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:158:54:158:59: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:158:60:158:65: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:158:66:158:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:158:72:158:77: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:159:2:159:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:160:39:160:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:162:5:162:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:163:2:163:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:164:17:164:33: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:164:46:164:59: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:165:7:165:12: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:165:13:165:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:165:19:165:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:165:25:165:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:165:31:165:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:165:37:165:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:165:43:165:48: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:165:49:165:54: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:165:55:165:60: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:166:2:166:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:167:5:167:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:168:2:168:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:169:27:169:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:169:40:169:45: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:171:40:171:47: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:172:19:172:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:176:2:176:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:177:5:177:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:177:18:177:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:177:24:177:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:177:26:177:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:177:32:177:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:177:36:177:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:177:44:177:49: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:177:50:177:50: s204 missing stylistic whitespaces
