texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:339:73:339:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:339:75:339:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:342:41:342:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:342:56:342:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:348:39:348:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:348:52:348:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:351:43:351:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:351:52:351:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:356:47:356:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:356:56:356:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:357:47:357:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:357:64:357:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:362:51:362:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:362:60:362:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:363:1:363:83: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:363:51:363:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:363:68:363:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:366:51:366:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:366:60:366:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:367:1:367:83: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:367:51:367:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:367:68:367:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:393:10:393:33: s204 missing stylistic whitespaces
