texmf-dist/tex/latex/tuda-ci/tudapub.cls:183:40:183:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:183:57:183:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:183:58:183:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:183:66:183:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:184:28:184:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:185:23:185:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:185:61:185:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:185:69:185:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:186:17:186:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:186:54:186:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:186:62:186:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:186:63:186:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:188:1:188:82: s103 line too long
texmf-dist/tex/latex/tuda-ci/tudapub.cls:188:68:188:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:188:76:188:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:192:4:192:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:194:38:194:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:194:44:194:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:194:44:194:60: w202 deprecated control sequences
texmf-dist/tex/latex/tuda-ci/tudapub.cls:194:61:194:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:194:62:194:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:194:63:194:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:194:72:194:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:195:42:195:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:195:48:195:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:195:48:195:64: w202 deprecated control sequences
texmf-dist/tex/latex/tuda-ci/tudapub.cls:195:65:195:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:195:66:195:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:195:67:195:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:195:75:195:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:196:42:196:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:196:42:196:58: w202 deprecated control sequences
texmf-dist/tex/latex/tuda-ci/tudapub.cls:196:65:196:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:196:66:196:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:196:67:196:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:196:75:196:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:204:1:204:81: s103 line too long
texmf-dist/tex/latex/tuda-ci/tudapub.cls:204:22:204:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:204:68:204:68: s204 missing stylistic whitespaces
