texmf-dist/tex/latex/rcs/rcs.sty:799:28:799:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:799:32:799:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:799:36:799:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:814:18:814:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:814:19:814:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:816:47:816:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:816:70:816:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:829:12:829:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:834:5:834:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:834:21:834:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:834:24:834:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:847:5:847:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:847:17:847:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:847:18:847:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:851:17:851:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:853:35:853:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:853:36:853:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:853:60:853:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:853:61:853:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:854:7:854:7: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:868:17:868:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:868:18:868:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:869:14:869:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:869:29:869:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:869:30:869:30: s204 missing stylistic whitespaces
