texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:221:28:221:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:221:37:221:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:221:38:221:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:221:39:221:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:221:48:221:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:222:28:222:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:222:29:222:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:222:38:222:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:222:39:222:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:222:40:222:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:222:54:222:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:232:32:232:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:232:33:232:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:232:40:232:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:236:17:236:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:236:25:236:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:239:15:239:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:239:25:239:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:239:26:239:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:239:27:239:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:240:17:240:17: s204 missing stylistic whitespaces
