texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:226:45:226:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:227:28:227:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:227:29:227:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:227:33:227:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:227:34:227:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:227:35:227:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:227:46:227:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:228:1:228:115: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:228:27:228:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:228:28:228:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:228:36:228:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:228:37:228:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:228:38:228:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:229:64:229:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:230:1:230:115: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:230:27:230:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:230:28:230:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:230:36:230:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:230:37:230:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:230:38:230:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:231:65:231:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:232:1:232:175: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:232:27:232:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:232:28:232:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:232:35:232:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:232:36:232:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:232:37:232:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:233:1:233:105: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:233:105:233:105: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:234:1:234:129: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:234:27:234:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:234:28:234:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:234:36:234:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:234:37:234:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:234:38:234:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:235:35:235:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:236:1:236:129: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:236:27:236:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:236:28:236:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:236:36:236:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:236:37:236:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:236:38:236:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:237:36:237:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:238:1:238:167: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:238:28:238:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:238:29:238:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:238:37:238:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:238:38:238:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:238:39:238:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:238:167:238:167: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:239:1:239:170: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:239:28:239:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:239:29:239:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:239:37:239:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:239:38:239:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:239:39:239:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:239:170:239:170: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:240:1:240:174: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:240:28:240:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:240:29:240:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:240:36:240:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:240:37:240:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:240:38:240:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:241:69:241:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:242:1:242:160: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:242:28:242:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:242:29:242:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:242:37:242:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:242:38:242:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:242:39:242:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:242:160:242:160: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:243:1:243:161: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:243:28:243:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:243:29:243:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:243:37:243:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:243:38:243:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:243:39:243:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:243:161:243:161: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:244:27:244:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:244:28:244:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:244:32:244:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:244:33:244:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:244:34:244:34: s204 missing stylistic whitespaces
